ID   Name   Cluster   Affinity(kcal/mol)   Formula   InChIKey                          Synthetic_Accessibility
1     lig_1.mol2		[1]	  -3.27	  C9H13N6O14S2     	BEQXRJFDXZCPLY-GRQBKTHUSA-O 	77.41
2     lig_2.mol2		[1]	  -7.67	  C13H13N11O9S     	IQOZHKOALGXOOC-WVXRZKCLSA-O 	75.31
3     lig_3.mol2		[1]	  -6.95	  C13H13N11O9S     	XJJCRSJZIFUBFW-OFLUOSHYSA-O 	75.34
4     lig_4.mol2		[1]	  -6.42	  C14H17N11O8S     	XXPVSTNFCKGURS-ARQODBIDSA-P 	74.70
5     lig_5.mol2		[1]	  -6.43	  C14H13N11O8S     	UHOLWEWTSZDMPQ-ZAYVUGBCSA-O 	75.30
6     lig_6.mol2		[1]	  -6.50	  C15H12N12O8S     	NYMRGPCKEAPWGO-GWPYMECJSA-O 	74.02
7     lig_7.mol2		[1]	  -7.56	  C13H13N11O9S     	DAXBUVXTXRSTBC-QBUCEGOBSA-O 	75.48
8     lig_8.mol2		[1]	  -7.46	  C15H16N12O8S     	YEWHXVAVRXJMDJ-ZJFIUHRLSA-P 	73.03
9     lig_9.mol2		[1]	  -6.66	  C14H18N12O6S     	WYLQAYBTQSHLBM-JWJAULAGSA-O 	76.62
10    lig_10.mol2		[1]	  -6.45	  C13H13N11O9S     	SJQCEWXTMZLIHE-UMWDYIOSSA-O 	75.32
11    lig_11.mol2		[1]	  -6.42	  C11H14N9O9S3     	WJDGXMUBRHSFTN-DKEVHCRPSA-O 	76.65
12    lig_12.mol2		[1]	  -6.54	  C14H12N12O9S     	XSARCDJTKJSJMF-CZJCILMISA-O 	73.96
13    lig_13.mol2		[1]	  -6.65	  C14H17N11O8S     	OMKBDIPFZSFYKZ-GQFKXXENSA-P 	75.11
14    lig_14.mol2		[1]	  -6.90	  C15H13N13O8S     	HHNRVMDNJZEMTO-XILYNSPISA-P 	73.63
15    lig_15.mol2		[1]	  -6.96	  C14H17N11O8S     	LBCRDJGHNCLKTP-KRCKLZDVSA-P 	75.08
16    lig_16.mol2		[1]	  -7.63	  C13H15N11O8S     	CAKLNVMEKLGSLV-PGTPCPKXSA-P 	76.46
17    lig_17.mol2		[1]	  -6.95	  C15H16N12O8S     	VKUWVZJNIMFTDY-IWMBXETASA-P 	73.67
18    lig_18.mol2		[1]	  -6.47	  C13H17N9O9S2     	JBNCZIDAYJGNPO-IZUQBHJASA-O 	75.11
19    lig_19.mol2		[1]	  -7.05	  C15H17N13O6S2    	RGTGHOTTWKQQDB-YUZFJSONSA-O 	73.94
20    lig_20.mol2		[1]	  -6.43	  C14H17N11O7S     	RUWDTNVHGBEFAS-HQXFNHHZSA-P 	76.46
21    lig_21.mol2		[1]	  -6.72	  C15H17N13O6S     	VXRUULRVRHOSAB-QQYKRIOUSA-O 	75.07
22    lig_22.mol2		[1]	  -6.75	  C17H14N14O6S2    	GHKFOCQLCLNZAW-PIDXYHIASA-O 	71.82
23    lig_23.mol2		[1]	  -6.40	  C13H19N11O6S2    	DPSDLTDUXNQFAV-UZEXVOJHSA-O 	76.77
24    lig_24.mol2		[1]	  -7.00	  C16H16N14O7S     	MJCKBLPQXBNVQK-HMDOHUEFSA-P 	72.03
